Date,Tournament,Court,Surface,Wrank,Lrank,Wage,Lage,Wheight,Lheight,Wtitles,Ltitles,Wh2h,Lh2h,winner_hand,loser_hand,winner_weight,loser_weight,winner_YTD_Won_Lost,loser_YTD_Won_Lost,winner_YTD_Titles,loser_YTD_Titles,winner_CAREER_W_L,loser_CAREER_W_L,winner_Career_Prize_Money,loser_Career_Prize_Money,Winner,Loser
2019.07.01,London,Outdoor,Grass,465,136,31,30,193,185,0,0,0,0,L,R,187,176,0/1,3/6,0,0,15/23,30/54,"$1,101,471","$2,118,427",Blaz Rola,Stefano Travaglia
2019.07.01,London,Outdoor,Grass,82,78,22,30,196,180,1,0,0,0,R,R,172,161,3/12,13/14,0,0,40/62,36/42,"$2,389,960","$1,767,496",Alexei Popyrin,Federico Coria
2019.07.01,London,Outdoor,Grass,267,1012,31,32,168,185,0,0,0,0,R,R,143,155,0/0,0/0,0,0,2/9,9/17,"$936,779","$760,330",Hiroki Moriya,Yannick Maden
2019.07.01,London,Outdoor,Grass,96,108,29,30,178,185,0,0,0,0,R,R,163,172,7/3,5/10,0,0,10/11,51/70,"$1,066,903","$2,204,392",Jason Kubler,Henri Laaksonen
2019.07.01,London,Outdoor,Grass,112,309,23,26,175,183,0,0,0,0,L,R,156,172,6/6,0/0,0,0,36/50,0/3,"$2,192,336","$342,106",Corentin Moutet,Lucas Miedler
2019.07.01,London,Outdoor,Grass,622,113,32,26,183,191,0,0,0,0,L,R,175,159,0/0,4/6,0,0,124/190,27/29,"$4,675,907","$1,226,701",Donald Young,Daniel Elahi Galan
2019.07.01,London,Outdoor,Grass,236,365,24,37,180,178,0,0,0,0,R,R,139,160,3/2,0/0,0,0,7/6,56/92,"$326,067","$2,370,392",Yosuke Watanuki,Go Soeda
2019.07.01,London,Outdoor,Grass,320,575,33,27,175,196,1,0,0,0,R,R,159,198,0/0,0/0,0,0,55/90,1/2,"$2,975,689","$515,552",Yuichi Sugita,Stefano Napolitano
2019.07.01,London,Outdoor,Grass,529,271,26,30,175,193,0,0,0,1,R,L,155,193,0/0,0/1,0,0,8/21,10/10,"$805,480","$387,622",Noah Rubin,Roberto Quiroz
2019.07.01,London,Outdoor,Grass,96,116,29,31,178,193,0,0,0,0,R,R,163,187,7/3,1/6,0,0,10/11,27/56,"$1,066,903","$1,990,353",Jason Kubler,Norbert Gombos
2019.07.01,London,Outdoor,Grass,1325,66,31,30,193,183,0,0,0,0,R,R,194,181,0/0,2/9,0,0,3/6,49/82,"$386,886","$2,992,263",Viktor Galovic,James Duckworth
2019.07.01,London,Outdoor,Grass,133,47,28,26,183,188,0,0,0,0,L,R,172,187,3/7,13/15,0,0,12/23,20/30,"$1,369,163","$1,363,293",Liam Broady,Tallon Griekspoor
2019.07.01,London,Outdoor,Grass,0,465,(1,31,196,193,0,0,0,0,R,L,203,187,0/0,0/1,0,0,60/93,15/23,"$2,181,301","$1,101,471",Daniel Brands,Blaz Rola
2019.07.01,London,Outdoor,Grass,390,357,34,25,183,180,0,0,0,0,L,R,165,172,0/0,0/0,0,0,30/61,2/7,"$2,231,442","$446,494",Ruben Bemelmans,Akira Santillan
2019.07.01,London,Outdoor,Grass,611,288,33,34,180,185,0,0,1,0,R,R,172,191,0/2,1/0,0,0,28/26,68/95,"$946,784","$2,335,783",Attila Balazs,Illya Marchenko
2019.07.01,London,Outdoor,Grass,198,267,34,31,180,168,0,0,0,0,L,R,158,143,0/0,0/0,0,0,4/10,2/9,"$969,054","$936,779",Andrea Arnaboldi,Hiroki Moriya
2019.07.01,London,Outdoor,Grass,34,454,25,28,185,193,1,0,0,0,R,R,180,185,23/17,0/1,0,0,74/68,5/7,"$3,092,308","$338,544",Tommy Paul,Mikael Torpegaard
2019.07.01,London,Outdoor,Grass,315,945,36,39,193,185,2,5,3,2,R,R,182,176,0/1,0/0,0,0,123/159,297/354,"$4,658,071","$8,451,851",Lukas Rosol,Guillermo Garcia-Lopez
2019.07.01,London,Outdoor,Grass,184,79,28,25,183,191,0,0,0,0,R,R,175,187,0/1,3/5,0,0,22/39,9/29,"$1,562,054","$1,620,974",Bjorn Fratangelo,Quentin Halys
2019.07.01,London,Outdoor,Grass,152,38,30,29,193,193,0,0,0,0,R,R,190,174,3/4,17/14,0,0,27/32,25/25,"$1,326,118","$1,764,854",Yannick Hanfmann,Oscar Otte
2019.07.01,London,Outdoor,Grass,77,388,24,25,180,188,1,0,0,0,R,R,159,172,12/16,0/0,0,0,49/48,5/14,"$1,985,610","$1,236,373",Soonwoo Kwon,Marc Polmans
2019.07.01,London,Outdoor,Grass,243,301,29,32,183,185,0,0,0,0,R,R,172,165,0/0,0/0,0,0,11/26,55/117,"$1,338,486","$3,321,210",Yasutaka Uchiyama,Evgeny Donskoy
2019.07.01,London,Outdoor,Grass,222,141,27,27,183,188,0,0,0,0,R,R,172,170,0/1,2/4,0,0,1/4,25/35,"$737,056","$1,488,658",Enzo Couacaud,Gianluca Mager
2019.07.01,London,Outdoor,Grass,251,52,27,25,191,185,0,1,0,0,R,R,190,168,0/0,14/16,0,1,0/1,40/47,"$353,019","$2,466,327",Evgeny Karlovskiy,Pedro Martinez
2019.07.01,London,Outdoor,Grass,91,0,23,37,183,196,0,0,0,0,R,R,165,172,8/8,0/0,0,0,48/55,62/99,"$1,902,096","$3,052,751",Mikael Ymer,Dustin Brown
2019.07.01,London,Outdoor,Grass,263,1108,29,33,185,188,0,0,0,0,R,L,176,185,0/1,0/0,0,0,19/44,5/22,"$1,919,295","$1,566,128",Salvatore Caruso,John-Patrick Smith
2019.07.01,London,Outdoor,Grass,603,514,28,36,183,193,0,4,0,0,R,R,179,176,0/0,0/0,0,0,1/2,177/215,"$350,005","$5,606,768",Andrew Harris,Sergiy Stakhovsky
2019.07.01,London,Outdoor,Grass,154,416,28,29,183,183,0,0,0,0,R,L,178,185,2/4,0/3,0,0,26/49,13/26,"$1,636,709","$1,392,059",Dennis Novak,Alex Bolt
2019.07.01,London,Outdoor,Grass,192,734,28,38,183,178,0,0,0,0,R,R,176,161,1/2,0/0,0,0,12/30,30/65,"$1,607,003","$1,854,319",Gregoire Barrere,Rogerio Dutra Silva
2019.07.01,London,Outdoor,Grass,89,196,26,27,180,188,0,0,0,0,R,R,173,178,12/11,2/1,0,0,25/37,24/32,"$1,792,016","$1,068,221",Kamil Majchrzak,Ramkumar Ramanathan
2019.07.01,London,Outdoor,Grass,54,460,28,26,180,183,0,0,1,0,R,R,170,168,11/19,0/0,0,0,46/55,6/13,"$2,311,726","$1,063,485",Marcos Giron,Antoine Hoang
2019.07.01,London,Outdoor,Grass,809,1227,36,35,191,188,4,0,1,0,R,R,176,172,0/0,0/0,0,0,202/250,57/89,"$11,983,770","$2,017,578",Marcel Granollers,Blaz Kavcic
2019.07.01,London,Outdoor,Grass,374,379,27,31,193,175,0,0,0,0,R,R,186,160,0/1,0/3,0,0,4/19,2/12,"$874,128","$936,926",Brayden Schnur,Steven Diez
2019.07.01,London,Outdoor,Grass,71,381,29,36,198,183,2,0,0,0,L,R,207,165,8/10,0/0,0,0,140/163,6/18,"$5,460,875","$1,283,774",Jiri Vesely,Adrian Menendez-Maceiras
2019.07.01,London,Outdoor,Grass,72,153,28,26,183,201,0,0,0,0,L,R,172,180,11/11,2/3,0,0,66/90,7/20,"$2,483,692","$975,573",Thiago Monteiro,Christopher Eubanks
2019.07.01,London,Outdoor,Grass,82,142,22,30,196,198,1,0,0,0,R,L,172,185,3/12,0/0,0,0,40/62,1/2,"$2,389,960","$553,329",Alexei Popyrin,Mats Moraing
2019.07.01,London,Outdoor,Grass,112,858,23,34,175,175,0,0,0,0,L,R,156,160,6/6,0/0,0,0,36/50,43/85,"$2,192,336","$2,067,979",Corentin Moutet,Tim Smyczek
2019.07.01,London,Outdoor,Grass,243,96,29,29,183,178,0,0,0,0,R,R,172,163,0/0,7/3,0,0,11/26,10/11,"$1,338,486","$1,066,903",Yasutaka Uchiyama,Jason Kubler
2019.07.01,London,Outdoor,Grass,529,152,26,30,175,193,0,0,0,0,R,R,155,190,0/0,3/4,0,0,8/21,27/32,"$805,480","$1,326,118",Noah Rubin,Yannick Hanfmann
